kind,modulus,train_fraction,architecture,runs_completed,model_seeds,split_seeds,heldout_mean,heldout_std,heldout_min,heldout_max,train_mean,parameter_count_mean
classical,31,0.5,fourier_delta_matched,3,0,"0,1,2",0.02286902286902287,0.00550052247622576,0.018711018711018712,0.029106029106029108,0.0625,23420.0
qnn,31,0.5,mean,3,0,"0,1,2",0.6514206514206514,0.02713343305675941,0.6299376299376299,0.681912681912682,0.9993055555555556,4584.0
qnn,31,0.5,residual,3,0,"0,1,2",0.683991683991684,0.059424556872999836,0.6174636174636174,0.7318087318087318,1.0,4588.0
classical,31,0.7,fourier_delta_matched,3,0,"0,1,2",0.01845444059976932,0.007202996537945096,0.010380622837370242,0.02422145328719723,0.05009920634920635,23420.0
qnn,31,0.7,mean,3,0,"0,1,2",0.8800461361014994,0.032150772467742485,0.8442906574394463,0.9065743944636678,1.0,4584.0
qnn,31,0.7,residual,3,0,"0,1,2",0.8604382929642445,0.03634590831969719,0.8235294117647058,0.8961937716262975,0.9990079365079365,4588.0
classical,97,0.5,fourier_delta_matched,3,0,"0,1,2",0.9954658165072617,0.0021395209168319543,0.9931987247608927,0.9974495217853347,1.0,23381.0
qnn,97,0.5,mean,3,0,"0,1,2",0.9907190931633014,0.0019049705504426313,0.9885228480340064,0.99192348565356,0.9928429705215419,23424.0
qnn,97,0.5,residual,3,0,"0,1,2",0.9782500885582713,0.0044294719184811895,0.973432518597237,0.9821466524973432,0.984906462585034,23428.0
classical,97,0.7,fourier_delta_matched,3,0,"0,1,2",0.9996457669146298,0.0003542330853701925,0.9992915338292596,1.0,1.0,23381.0
qnn,97,0.7,mean,3,0,"0,1,2",0.9943322706340773,0.0022121849091032344,0.9925611052072264,0.9968119022316685,0.9957991699564733,23424.0
qnn,97,0.7,residual,3,0,"0,1,2",0.9811075687802574,0.007963025292283585,0.9723698193411264,0.9879560750974141,0.9850693390019233,23428.0
classical,127,0.5,fourier_delta_matched,3,0,"0,1,2",0.9997106840256251,0.00031204110085847277,0.9993800371977681,1.0,1.0,23411.0
qnn,127,0.5,mean,3,0,"0,1,2",0.9962802231866088,0.00291580310385737,0.9942963422194668,0.9996280223186609,0.9977265211640212,23544.0
qnn,127,0.5,residual,3,0,"0,1,2",0.966769993800372,0.02125595607102264,0.9464352138871668,0.9888406695598264,0.9710648148148148,23548.0
classical,127,0.7,fourier_delta_matched,3,0,"0,1,2",0.9999311152441964,0.00011931189691870751,0.9997933457325894,1.0,0.999822852081488,23411.0
qnn,127,0.7,mean,3,0,"0,1,2",0.9870496659089344,0.0024129337863383607,0.9849142384790246,0.9896672866294689,0.9894006495423678,23544.0
qnn,127,0.7,residual,3,0,"0,1,2",0.9673486257491217,0.005591134225446861,0.9619756147964456,0.9731349452366191,0.9682019486271036,23548.0
