best_label,best_learned_accuracy,best_learned_delta,best_output_mode,best_patch_spec,best_site,model_group,source_combo,target_combo
pca_ridge_r16,1.0,0.0,number,early_b_image_number_mid,L0:resid_mid:operand_b_pool,baseline_full,number+number,image+number
pca_ridge_r32,1.0,0.0,number,late_answer_query,L3:mlp_out:answer_query,baseline_full,number+text,image+number
pca_ridge_r16,1.0,0.0,number,early_b_image_number_mid,L0:resid_mid:operand_b_pool,baseline_full,text+number,image+number
pca_ridge_r32,1.0,0.0,number,late_answer_query,L3:mlp_out:answer_query,baseline_full,text+text,image+number
procrustes_r16,1.0,0.0,number,early_b_image_text,L0:mlp_out:operand_b_pool,baseline_full,number+number,image+text
pca_ridge_r32,1.0,0.0,number,late_answer_query,L3:mlp_out:answer_query,baseline_full,number+text,image+text
procrustes_r16,1.0,0.0,number,early_b_image_text,L0:mlp_out:operand_b_pool,baseline_full,text+number,image+text
pca_ridge_r32,1.0,0.0,number,late_answer_query,L3:mlp_out:answer_query,baseline_full,text+text,image+text
pca_ridge_r8,1.0,0.0,number,early_plus_attn,L0:attn_out:plus,baseline_full,number+number,number+image
pca_ridge_r8,1.0,0.0,number,early_plus_attn,L0:attn_out:plus,baseline_full,number+text,number+image
pca_ridge_r8,1.0,0.0,number,early_plus_attn,L0:attn_out:plus,baseline_full,text+number,number+image
pca_ridge_r8,1.0,0.0,number,early_plus_attn,L0:attn_out:plus,baseline_full,text+text,number+image
pca_ridge_r32,1.0,0.0,number,late_answer_query,L3:mlp_out:answer_query,baseline_full,number+number,text+image
pca_ridge_r32,1.0,0.0,number,late_answer_query,L3:mlp_out:answer_query,baseline_full,number+text,text+image
pca_ridge_r32,1.0,0.0,number,late_answer_query,L3:mlp_out:answer_query,baseline_full,text+number,text+image
pca_ridge_r32,1.0,0.0,number,late_answer_query,L3:mlp_out:answer_query,baseline_full,text+text,text+image
pca_ridge_r16,1.0,0.8828125,number,early_b_image_number_mid,L0:resid_mid:operand_b_pool,leaveout,number+number,image+number
procrustes_r64,0.16015625,0.03515625,image,early_b_image_number_mid,L0:resid_mid:operand_b_pool,leaveout,number+text,image+number
pca_ridge_r16,1.0,0.8828125,number,early_b_image_number_mid,L0:resid_mid:operand_b_pool,leaveout,text+number,image+number
pca_ridge_r32,0.125,0.0078125,number,early_a_image_number,L0:mlp_out:operand_a_pool,leaveout,text+text,image+number
pca_ridge_r64,0.85546875,0.38671875,image,early_b_image_text,L0:mlp_out:operand_b_pool,leaveout,number+number,image+text
procrustes_r64,0.58984375,0.140625,number,late_answer_query,L3:mlp_out:answer_query,leaveout,number+text,image+text
pca_ridge_r64,0.83203125,0.36328125,image,early_b_image_text,L0:mlp_out:operand_b_pool,leaveout,text+number,image+text
procrustes_r64,0.5859375,0.13671875,number,late_answer_query,L3:mlp_out:answer_query,leaveout,text+text,image+text
pca_ridge_r64,0.66015625,0.1015625,number,early_plus_attn,L0:attn_out:plus,leaveout,number+number,number+image
pca_ridge_r64,0.76953125,0.21484375,image,early_plus_attn,L0:attn_out:plus,leaveout,number+text,number+image
pca_ridge_r64,0.63671875,0.08203125,image,late_answer_query,L3:mlp_out:answer_query,leaveout,text+number,number+image
pca_ridge_r64,0.6484375,0.09375,image,late_answer_query,L3:mlp_out:answer_query,leaveout,text+text,number+image
pca_ridge_r64,0.48828125,0.37890625,number,early_b_text_image,L0:mlp_out:operand_b_pool,leaveout,number+number,text+image
pca_ridge_r32,0.1328125,0.02734375,image,late_answer_query,L3:mlp_out:answer_query,leaveout,number+text,text+image
pca_ridge_r64,0.45703125,0.3515625,image,early_b_text_image,L0:mlp_out:operand_b_pool,leaveout,text+number,text+image
pca_ridge_r32,0.12890625,0.01953125,number,late_answer_query,L3:mlp_out:answer_query,leaveout,text+text,text+image
